"condition","grain","movName","iteration","max_peakiness","min_peakiness","peakiness"
"Uninterrupted","c","3Iron",1,0.000122277412756331,2.98969883333201e-05,4.08995753662765
"Interrupted","c","3Iron",1,0.000154197249962939,3.05433807940322e-05,5.04846699855396
"Jumbled","c","3Iron",1,0.000132463306218213,3.08178315482231e-05,4.2982682286045
"Uninterrupted","f","3Iron",1,0.000304060787791862,4.88378019243397e-05,6.22593105772691
"Interrupted","f","3Iron",1,0.000295068069676745,5.04106905656161e-05,5.85328362627121
"Jumbled","f","3Iron",1,0.000323375229298149,4.96942531172613e-05,6.50729629712101
"Uninterrupted","c","Corn",1,0.000105465193922752,3.12459163971732e-05,3.37532727740043
"Interrupted","c","Corn",1,0.000126513443198755,3.24278114367413e-05,3.90138703765289
"Jumbled","c","Corn",1,0.000147916917173161,3.23607918002543e-05,4.57086829290744
"Uninterrupted","f","Corn",1,0.000342101503713189,5.24528957172599e-05,6.52207087969441
"Interrupted","f","Corn",1,0.000303124801299168,5.35883104854932e-05,5.65654708187201
"Jumbled","f","Corn",1,0.000279142808647941,5.37193194812469e-05,5.19632064113151
"Uninterrupted","c","3Iron",2,0.000128482867377406,2.98969883333201e-05,4.29751873148416
"Interrupted","c","3Iron",2,0.000167567491365459,3.05433807940322e-05,5.48621295381288
"Jumbled","c","3Iron",2,0.000134089706573628,3.06863182281792e-05,4.3696902827037
"Uninterrupted","f","3Iron",2,0.000297334182264328,4.88378019243397e-05,6.08819747303457
"Interrupted","f","3Iron",2,0.000295978258601044,5.04106905656161e-05,5.87133910049873
"Jumbled","f","3Iron",2,0.000273852321753667,4.96942531172613e-05,5.51074429285556
"Uninterrupted","c","Corn",2,0.000109228127012277,3.12459163971732e-05,3.49575687343766
"Interrupted","c","Corn",2,0.000134903204881663,3.24278114367413e-05,4.16010821898438
"Jumbled","c","Corn",2,0.000120328432488314,3.23607918002543e-05,3.71834018249726
"Uninterrupted","f","Corn",2,0.000326172742986304,5.24528957172599e-05,6.21839344665532
"Interrupted","f","Corn",2,0.000280362352463333,5.35883104854932e-05,5.23178189279225
"Jumbled","f","Corn",2,0.00033237291154267,5.24657536716697e-05,6.3350450204653
"Uninterrupted","c","3Iron",3,0.000148391480705419,2.98969883333201e-05,4.96342571535999
"Interrupted","c","3Iron",3,0.000116654129346797,3.07526030347146e-05,3.79330911321926
"Jumbled","c","3Iron",3,0.000125647575898876,3.08178315482231e-05,4.0771063240535
"Uninterrupted","f","3Iron",3,0.000310589032952036,4.88378019243397e-05,6.35960302704052
"Interrupted","f","3Iron",3,0.000335907447841087,5.04106905656161e-05,6.66341690764699
"Jumbled","f","3Iron",3,0.000306996430051664,4.96942531172613e-05,6.1777048812316
"Uninterrupted","c","Corn",3,0.000117838361874821,3.12459163971732e-05,3.77132039838273
"Interrupted","c","Corn",3,0.000116895758293873,3.24278114367413e-05,3.60479949508488
"Jumbled","c","Corn",3,0.000135302161684588,3.21460706675389e-05,4.20897978741818
"Uninterrupted","f","Corn",3,0.000348995102291156,5.24528957172599e-05,6.65349543659832
"Interrupted","f","Corn",3,0.000323023240928131,5.35883104854932e-05,6.02786760772345
